,Budget FAJ (en euros),Montant des aides individuelles attribuées (en euros),Nombre d'aides individuelles attribuées (2),Montant moyen de l'aide individuelle attribuée (en euros),Nombre de bénéficiaires du FAJ,Part de l'ensemble des jeunes de 20 à 24 ans vivant chez les parents en %,Population étudiante,Taux pauvreté département,Population étudiante sous le seuil de pauvreté
Ain,457200,252328,1520,"166,01",971,"55,59","3183,00","10,5","334,215"
Allier,198034,"147222,06",1397,"105,38",778,"40,77",3857,"15,3","590,121"
Ardèche,"271930,93",152403,1203,"126,69",694,"53,46",1415,"14,3","202,345"
Cantal,108000,"32147,3",195,"164,86",155,"42,94",1431,"13,2","188,892"
Drôme,"505023,39","196800,26",891,"220,88",845,"51,33",7920,"14,4","1140,48"
Isère,763902,371867,1968,"188,96",1339,"44,7",63081,"11,3","7128,153"
Loire,390000,195077,1186,"164,48",816,"47,85",29122,15,"4368,3"
Haute-Loire,"116454,99","39989,21",197,"202,99",179,"56,54",1623,"11,9","193,137"
Puy-de-Dôme,"684875,22","384209,75",2220,"173,07",1541,"34,98",40182,"13,2","5304,024"
Rhône,88893,"25331,62",185,"136,93",nd,"39,91",164468,"14,1","23189,988"
Savoie,"195626,87","96754,87",801,"120,79",617,"46,53",13196,"10,3","1359,188"
Haute-Savoie,300000,213585,1287,"165,96",840,"50,35",9046,"9,4","850,324"
Côte-d'Or,431315,197790,1417,"139,58",737,36,36739,"11,5","4224,985"
Doubs,225763,217974,1090,"199,98",784,"38,16",25960,"12,2","3167,12"
Jura,"71740,85","71740,85",527,"136,13",322,"44,8",1881,"11,2","210,672"
Nièvre,174724,"102923,48",1250,"82,34",883,"41,58",2277,"15,5","352,935"
Haute-Saône,70250,"50899,68",371,"137,2",258,"49,63",1019,13,"132,47"
Saône-et-Loire,232821,167465,1029,"162,75",754,"48,04",4921,"12,8","629,888"
Yonne,"141186,01",nd,nd,nd,nd,"48,89",2110,"14,3","301,73"
Territoire de Belfort,"244505,16","76091,17",1137,"66,92",389,"42,1",5389,"14,8","797,572"
Côtes d'Armor,490000,322073,2837,"113,53",1492,"47,06",8172,"12,1","988,812"
Finistère,1066608,936353,5003,"187,16",2522,"41,26",32021,11,"3522,31"
Ille-et-Vilaine,738711,nd,3813,nd,1975,"33,18",71030,"10,7","7600,21"
Morbihan,427000,"356869,54",2658,"134,26",1608,"47,57",15701,"11,5","1805,615"
Cher,238689,190390,1463,"130,14",871,"45,33",4181,14,"585,34"
Eure-et-Loir,110000,nd,nd,nd,450,"54,64",2660,"11,8","313,88"
Indre,"140053,74","85044,81",348,"244,38",281,"45,21",1747,"14,6","255,062"
Indre-et-Loire,249980,180000,705,"255,32",nd,"37,41",32588,"12,4","4040,912"
Loir-et-Cher,313893,"137124,13",535,"256,31",420,"45,82",3256,"12,5",407
Loiret,442031,"204828,3",2628,"77,94",1267,"44,99",20362,"13,2","2687,784"
Corse du sud,137108,115730,248,"466,65",225,"62,96",549,"16,3","89,487"
Haute Corse,"41635,98","40646,36",321,"126,62",55,"54,25",5002,"20,1","1005,402"
Ardennes,115000,nd,463,nd,350,"53,12",2069,"18,3","378,627"
Aube,390443,131819,1062,"124,12",655,"40,51",9256,"16,2","1499,472"
Marne,nd,234578,1079,"217,4",555,"37,3",30997,"14,2","4401,574"
Haute-Marne,25000,"24329,85",154,"157,99",104,"44,07",1032,15,"154,8"
Meurthe-et-Moselle,"290226,32","123772,17",1210,"102,29",745,"39,55",53153,"14,6","7760,338"
Meuse,99498,"34936,26",182,"191,96",nd,"50,21",1093,"14,2","155,206"
Moselle,480150,309230,5242,"58,99",1791,"56,35",27083,"15,3","4143,699"
Bas-Rhin,645939,"385432,34",1816,"212,24",1010,"46,45",67145,"13,2","8863,14"
Haut-Rhin,"312365,68",272195,1174,"231,85",685,"57,01",13739,"13,2","1813,548"
Vosges,"685265,79",189960,716,"265,31",650,"50,08",3746,"14,9","558,154"
Aisne,500000,nd,nd,nd,nd,"51,23",5434,18,"978,12"
Nord,1942387,1444189,5741,"251,56",5352,"48,83",149151,"18,4","27443,784"
Oise,247000,107589,632,"170,24",nd,"56,65",12283,"12,8","1572,224"
Pas-de-Calais,700000,467664,1457,"320,98",1354,"55,5",29891,"17,8","5320,598"
Somme,"276635,42","217973,42",1352,"161,22",1063,"42,44",31486,"15,7","4943,302"
Paris,750000,671082,1876,"357,72",1352,"36,79",363320,"15,4","55951,28"
Seine-et-Marne,603000,266318,1973,"134,98",1374,"65,97",28145,"11,7","3292,965"
Yvelines,202970,191816,511,"375,37",nd,"67,35",35698,"9,7","3462,706"
